# x_m,y_m,w_tr_right_m,w_tr_left_m
0.9800,-2.7240,0.5792,0.5792
0.9800,-2.7360,0.5766,0.5766
0.9920,-2.7480,0.5625,0.5625
0.9920,-2.7600,0.5603,0.5603
0.9920,-2.7720,0.5584,0.5584
0.9920,-2.7840,0.5567,0.5567
0.9920,-2.7960,0.5553,0.5553
1.0040,-2.8080,0.5421,0.5421
1.0040,-2.8200,0.5412,0.5412
1.0040,-2.8320,0.5405,0.5405
1.0040,-2.8440,0.5401,0.5401
1.0040,-2.8560,0.5400,0.5400
1.0040,-2.8680,0.5400,0.5400
1.0160,-2.8800,0.5280,0.5280
1.0160,-2.8920,0.5281,0.5281
1.0160,-2.9040,0.5285,0.5285
1.0160,-2.9160,0.5292,0.5292
1.0160,-2.9280,0.5302,0.5302
1.0280,-2.9400,0.5195,0.5195
1.0280,-2.9520,0.5210,0.5210
1.0280,-2.9640,0.5228,0.5228
1.0280,-2.9760,0.5249,0.5249
1.0280,-2.9880,0.5272,0.5272
1.0400,-3.0000,0.5181,0.5181
1.0400,-3.0120,0.5210,0.5210
1.0400,-3.0240,0.5242,0.5242
1.0400,-3.0360,0.5276,0.5276
1.0400,-3.0480,0.5313,0.5313
1.0400,-3.0600,0.5352,0.5352
1.0520,-3.0720,0.5276,0.5276
1.0520,-3.0840,0.5313,0.5313
1.0520,-3.0960,0.5352,0.5352
1.0520,-3.1080,0.5393,0.5393
1.0520,-3.1200,0.5437,0.5437
1.0640,-3.1320,0.5373,0.5373
1.0640,-3.1440,0.5423,0.5423
1.0640,-3.1560,0.5465,0.5465
1.0640,-3.1680,0.5506,0.5506
1.0760,-3.1800,0.5437,0.5437
1.0760,-3.1920,0.5483,0.5483
1.0760,-3.2040,0.5532,0.5532
1.0760,-3.2160,0.5582,0.5582
1.0880,-3.2280,0.5528,0.5528
1.0880,-3.2400,0.5582,0.5582
1.1000,-3.2520,0.5528,0.5528
1.1000,-3.2640,0.5584,0.5584
1.1120,-3.2760,0.5537,0.5537
1.1240,-3.2880,0.5495,0.5495
1.1240,-3.3000,0.5559,0.5559
1.1240,-3.3120,0.5582,0.5582
1.1360,-3.3240,0.5594,0.5594
1.1360,-3.3360,0.5559,0.5559
1.1480,-3.3480,0.5594,0.5594
1.1600,-3.3600,0.5623,0.5623
1.1720,-3.3720,0.5611,0.5611
1.1840,-3.3840,0.5603,0.5603
1.1960,-3.3960,0.5600,0.5600
1.2080,-3.4080,0.5600,0.5600
1.2200,-3.4200,0.5600,0.5600
1.2320,-3.4320,0.5600,0.5600
1.2440,-3.4440,0.5600,0.5600
1.2560,-3.4560,0.5603,0.5603
1.2680,-3.4680,0.5611,0.5611
1.2800,-3.4800,0.5623,0.5623
1.2920,-3.4920,0.5641,0.5641
1.3040,-3.5040,0.5664,0.5664
1.3040,-3.5160,0.5623,0.5623
1.3160,-3.5280,0.5641,0.5641
1.3280,-3.5280,0.5701,0.5701
1.3400,-3.5400,0.5716,0.5716
1.3520,-3.5520,0.5736,0.5736
1.3640,-3.5640,0.5761,0.5761
1.3760,-3.5760,0.5780,0.5780
1.3880,-3.5880,0.5792,0.5792
1.4000,-3.6000,0.5791,0.5791
1.4120,-3.6120,0.5746,0.5746
1.4240,-3.6240,0.5701,0.5701
1.4360,-3.6240,0.5762,0.5762
1.4480,-3.6360,0.5725,0.5725
1.4600,-3.6360,0.5736,0.5736
1.4720,-3.6480,0.5760,0.5760
1.4840,-3.6600,0.5640,0.5640
1.4960,-3.6600,0.5640,0.5640
1.5080,-3.6600,0.5640,0.5640
1.5200,-3.6720,0.5520,0.5520
1.5320,-3.6720,0.5520,0.5520
1.5440,-3.6840,0.5400,0.5400
1.5560,-3.6960,0.5280,0.5280
1.5680,-3.6960,0.5280,0.5280
1.5800,-3.7080,0.5160,0.5160
1.5920,-3.7080,0.5160,0.5160
1.6040,-3.7200,0.5040,0.5040
1.6160,-3.7200,0.5040,0.5040
1.6280,-3.7320,0.4920,0.4920
1.6400,-3.7320,0.4920,0.4920
1.6520,-3.7320,0.4920,0.4920
1.6640,-3.7320,0.4920,0.4920
1.6760,-3.7320,0.4920,0.4920
1.6880,-3.7320,0.4920,0.4920
1.7000,-3.7320,0.4921,0.4921
1.7120,-3.7320,0.4926,0.4926
1.7240,-3.7320,0.4933,0.4933
1.7360,-3.7320,0.4943,0.4943
1.7480,-3.7320,0.4956,0.4956
1.7600,-3.7320,0.4972,0.4972
1.7720,-3.7320,0.4991,0.4991
1.7840,-3.7320,0.5013,0.5013
1.7960,-3.7320,0.5037,0.5037
1.8080,-3.7320,0.5064,0.5064
1.8200,-3.7320,0.5094,0.5094
1.8320,-3.7320,0.5094,0.5094
1.8440,-3.7320,0.5064,0.5064
1.8560,-3.7320,0.5037,0.5037
1.8680,-3.7320,0.5013,0.5013
1.8800,-3.7320,0.4991,0.4991
1.8920,-3.7320,0.4972,0.4972
1.9040,-3.7320,0.4956,0.4956
1.9160,-3.7320,0.4943,0.4943
1.9280,-3.7320,0.4933,0.4933
1.9400,-3.7320,0.4926,0.4926
1.9520,-3.7320,0.4921,0.4921
1.9640,-3.7320,0.4920,0.4920
1.9760,-3.7320,0.4920,0.4920
1.9880,-3.7320,0.4920,0.4920
2.0000,-3.7320,0.4920,0.4920
2.0120,-3.7320,0.4920,0.4920
2.0240,-3.7320,0.4920,0.4920
2.0360,-3.7320,0.4920,0.4920
2.0480,-3.7320,0.4920,0.4920
2.0600,-3.7320,0.4920,0.4920
2.0720,-3.7440,0.5040,0.5040
2.0840,-3.7440,0.5040,0.5040
2.0960,-3.7440,0.5040,0.5040
2.1080,-3.7440,0.5040,0.5040
2.1200,-3.7440,0.5040,0.5040
2.1320,-3.7440,0.5041,0.5041
2.1440,-3.7440,0.5046,0.5046
2.1560,-3.7560,0.5173,0.5173
2.1680,-3.7560,0.5182,0.5182
2.1800,-3.7560,0.5195,0.5195
2.1920,-3.7560,0.5210,0.5210
2.2040,-3.7560,0.5228,0.5228
2.2160,-3.7560,0.5249,0.5249
2.2280,-3.7560,0.5272,0.5272
2.2400,-3.7560,0.5298,0.5298
2.2520,-3.7680,0.5433,0.5433
2.2640,-3.7680,0.5448,0.5448
2.2760,-3.7680,0.5465,0.5465
2.2880,-3.7680,0.5485,0.5485
2.3000,-3.7680,0.5507,0.5507
2.3120,-3.7560,0.5415,0.5415
2.3240,-3.7560,0.5433,0.5433
2.3360,-3.7560,0.5448,0.5448
2.3480,-3.7560,0.5465,0.5465
2.3600,-3.7560,0.5485,0.5485
2.3720,-3.7440,0.5389,0.5389
2.3840,-3.7440,0.5415,0.5415
2.3960,-3.7440,0.5442,0.5442
2.4080,-3.7440,0.5473,0.5473
2.4200,-3.7440,0.5506,0.5506
2.4320,-3.7320,0.5427,0.5427
2.4440,-3.7320,0.5465,0.5465
2.4560,-3.7320,0.5506,0.5506
2.4680,-3.7320,0.5541,0.5541
2.4800,-3.7200,0.5465,0.5465
2.4920,-3.7200,0.5506,0.5506
2.5040,-3.7200,0.5549,0.5549
2.5160,-3.7080,0.5483,0.5483
2.5280,-3.7080,0.5532,0.5532
2.5400,-3.7080,0.5582,0.5582
2.5520,-3.6960,0.5528,0.5528
2.5640,-3.6960,0.5582,0.5582
2.5760,-3.6840,0.5528,0.5528
2.5880,-3.6840,0.5582,0.5582
2.6000,-3.6840,0.5635,0.5635
2.6120,-3.6720,0.5584,0.5584
2.6240,-3.6720,0.5641,0.5641
2.6360,-3.6720,0.5664,0.5664
2.6480,-3.6600,0.5660,0.5660
2.6600,-3.6600,0.5625,0.5625
2.6720,-3.6480,0.5660,0.5660
2.6840,-3.6480,0.5598,0.5598
