# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4800,4.1940,0.7674,0.7674
-1.4800,4.1820,0.7655,0.7655
-1.4800,4.1700,0.7637,0.7637
-1.4680,4.1580,0.7740,0.7740
-1.4680,4.1460,0.7726,0.7726
-1.4680,4.1340,0.7714,0.7714
-1.4680,4.1220,0.7703,0.7703
-1.4680,4.1100,0.7684,0.7684
-1.4680,4.0980,0.7655,0.7655
-1.4680,4.0860,0.7627,0.7627
-1.4560,4.0740,0.7719,0.7719
-1.4560,4.0620,0.7696,0.7696
-1.4680,4.0500,0.7556,0.7556
-1.4680,4.0380,0.7536,0.7536
-1.4680,4.0260,0.7518,0.7518
-1.4680,4.0140,0.7502,0.7502
-1.4680,4.0020,0.7487,0.7487
-1.4680,3.9900,0.7475,0.7475
-1.4680,3.9780,0.7464,0.7464
-1.4680,3.9660,0.7455,0.7455
-1.4680,3.9540,0.7449,0.7449
-1.4680,3.9420,0.7444,0.7444
-1.4680,3.9300,0.7441,0.7441
-1.4680,3.9180,0.7440,0.7440
-1.4800,3.9060,0.7320,0.7320
-1.4800,3.8940,0.7320,0.7320
-1.4800,3.8820,0.7320,0.7320
-1.4800,3.8700,0.7320,0.7320
-1.4800,3.8580,0.7320,0.7320
-1.4800,3.8460,0.7320,0.7320
-1.4800,3.8340,0.7320,0.7320
-1.4800,3.8220,0.7320,0.7320
-1.4800,3.8100,0.7320,0.7320
-1.4800,3.7980,0.7320,0.7320
-1.4800,3.7860,0.7320,0.7320
-1.4800,3.7740,0.7320,0.7320
-1.4800,3.7620,0.7320,0.7320
-1.4800,3.7500,0.7320,0.7320
-1.4800,3.7380,0.7320,0.7320
-1.4800,3.7260,0.7320,0.7320
-1.4800,3.7140,0.7320,0.7320
-1.4800,3.7020,0.7320,0.7320
-1.4800,3.6900,0.7320,0.7320
-1.4800,3.6780,0.7320,0.7320
-1.4800,3.6660,0.7320,0.7320
-1.4800,3.6540,0.7320,0.7320
-1.4800,3.6420,0.7320,0.7320
-1.4800,3.6300,0.7320,0.7320
-1.4800,3.6180,0.7320,0.7320
-1.4800,3.6060,0.7320,0.7320
-1.4800,3.5940,0.7320,0.7320
-1.4920,3.5820,0.7200,0.7200
-1.4920,3.5700,0.7200,0.7200
-1.4920,3.5580,0.7200,0.7200
-1.4920,3.5460,0.7200,0.7200
-1.4920,3.5340,0.7200,0.7200
-1.4920,3.5220,0.7200,0.7200
-1.4920,3.5100,0.7200,0.7200
-1.4920,3.4980,0.7200,0.7200
-1.4920,3.4860,0.7200,0.7200
-1.4920,3.4740,0.7200,0.7200
-1.4920,3.4620,0.7200,0.7200
-1.4920,3.4500,0.7200,0.7200
-1.5040,3.4380,0.7080,0.7080
-1.5040,3.4260,0.7080,0.7080
-1.5040,3.4140,0.7080,0.7080
-1.5040,3.4020,0.7080,0.7080
-1.5040,3.3900,0.7080,0.7080
-1.5040,3.3780,0.7080,0.7080
-1.5040,3.3660,0.7080,0.7080
-1.5040,3.3540,0.7080,0.7080
-1.5040,3.3420,0.7080,0.7080
-1.5040,3.3300,0.7080,0.7080
-1.5040,3.3180,0.7080,0.7080
-1.5040,3.3060,0.7080,0.7080
-1.5040,3.2940,0.7080,0.7080
-1.5040,3.2820,0.7080,0.7080
-1.5040,3.2700,0.7080,0.7080
-1.5040,3.2580,0.7080,0.7080
-1.5040,3.2460,0.7080,0.7080
-1.5040,3.2340,0.7081,0.7081
-1.5040,3.2220,0.7084,0.7084
-1.5040,3.2100,0.7089,0.7089
-1.5040,3.1980,0.7096,0.7096
-1.5040,3.1860,0.7105,0.7105
-1.5040,3.1740,0.7117,0.7117
-1.5040,3.1620,0.7130,0.7130
-1.5040,3.1500,0.7145,0.7145
-1.5040,3.1380,0.7162,0.7162
-1.5040,3.1260,0.7181,0.7181
-1.5040,3.1140,0.7202,0.7202
-1.5040,3.1020,0.7225,0.7225
-1.5040,3.0900,0.7250,0.7250
-1.5040,3.0780,0.7277,0.7277
-1.5040,3.0660,0.7305,0.7305
-1.5040,3.0540,0.7336,0.7336
-1.5040,3.0420,0.7367,0.7367
-1.5040,3.0300,0.7343,0.7343
-1.5040,3.0180,0.7320,0.7320
-1.5040,3.0060,0.7299,0.7299
-1.5040,2.9940,0.7277,0.7277
-1.5040,2.9820,0.7250,0.7250
-1.5040,2.9700,0.7225,0.7225
-1.5040,2.9580,0.7202,0.7202
-1.5040,2.9460,0.7181,0.7181
-1.5040,2.9340,0.7162,0.7162
-1.5040,2.9220,0.7145,0.7145
-1.5040,2.9100,0.7130,0.7130
-1.5040,2.8980,0.7117,0.7117
-1.5040,2.8860,0.7105,0.7105
-1.5040,2.8740,0.7096,0.7096
-1.5040,2.8620,0.7089,0.7089
-1.5040,2.8500,0.7084,0.7084
-1.5040,2.8380,0.7081,0.7081
-1.5040,2.8260,0.7080,0.7080
-1.5040,2.8140,0.7080,0.7080
-1.5040,2.8020,0.7080,0.7080
-1.5040,2.7900,0.7080,0.7080
-1.5040,2.7780,0.7080,0.7080
-1.5040,2.7660,0.7080,0.7080
-1.5040,2.7540,0.7080,0.7080
-1.5040,2.7420,0.7080,0.7080
-1.5040,2.7300,0.7080,0.7080
-1.5040,2.7180,0.7080,0.7080
-1.5040,2.7060,0.7080,0.7080
-1.5040,2.6940,0.7080,0.7080
-1.5160,2.6820,0.7200,0.7200
-1.5160,2.6700,0.7200,0.7200
-1.5160,2.6580,0.7200,0.7200
-1.5160,2.6460,0.7200,0.7200
-1.5160,2.6340,0.7200,0.7200
-1.5160,2.6220,0.7200,0.7200
-1.5160,2.6100,0.7200,0.7200
-1.5280,2.5980,0.7320,0.7320
-1.5280,2.5860,0.7320,0.7320
-1.5280,2.5740,0.7320,0.7320
-1.5280,2.5620,0.7320,0.7320
-1.5280,2.5500,0.7320,0.7320
-1.5280,2.5380,0.7320,0.7320
-1.5280,2.5260,0.7320,0.7320
-1.5280,2.5140,0.7320,0.7320
-1.5280,2.5020,0.7320,0.7320
-1.5280,2.4900,0.7320,0.7320
-1.5280,2.4780,0.7321,0.7321
-1.5280,2.4660,0.7324,0.7324
-1.5280,2.4540,0.7329,0.7329
-1.5280,2.4420,0.7336,0.7336
-1.5280,2.4300,0.7345,0.7345
-1.5280,2.4180,0.7355,0.7355
-1.5280,2.4060,0.7368,0.7368
-1.5280,2.3940,0.7383,0.7383
-1.5280,2.3820,0.7399,0.7399
-1.5280,2.3700,0.7418,0.7418
-1.5280,2.3580,0.7438,0.7438
-1.5280,2.3460,0.7460,0.7460
-1.5280,2.3340,0.7484,0.7484
-1.5280,2.3220,0.7510,0.7510
-1.5280,2.3100,0.7538,0.7538
-1.5280,2.2980,0.7568,0.7568
-1.5280,2.2860,0.7584,0.7584
-1.5280,2.2740,0.7575,0.7575
-1.5160,2.2620,0.7552,0.7552
-1.5160,2.2500,0.7589,0.7589
-1.5160,2.2380,0.7628,0.7628
-1.5160,2.2260,0.7669,0.7669
-1.5160,2.2140,0.7680,0.7680
-1.5160,2.2020,0.7680,0.7680
-1.5160,2.1900,0.7680,0.7680
-1.5160,2.1780,0.7680,0.7680
-1.5160,2.1660,0.7680,0.7680
-1.5160,2.1540,0.7674,0.7674
-1.5160,2.1420,0.7655,0.7655
-1.5160,2.1300,0.7637,0.7637
-1.5040,2.1180,0.7740,0.7740
-1.5040,2.1060,0.7726,0.7726
-1.5040,2.0940,0.7714,0.7714
-1.5040,2.0820,0.7703,0.7703
-1.5040,2.0700,0.7695,0.7695
-1.5040,2.0580,0.7674,0.7674
-1.5040,2.0460,0.7655,0.7655
-1.5040,2.0340,0.7627,0.7627
-1.5040,2.0220,0.7602,0.7602
-1.5040,2.0100,0.7578,0.7578
-1.5040,1.9980,0.7556,0.7556
-1.5040,1.9860,0.7536,0.7536
-1.5040,1.9740,0.7518,0.7518
-1.5040,1.9620,0.7502,0.7502
-1.4920,1.9500,0.7607,0.7607
-1.4920,1.9380,0.7594,0.7594
-1.4800,1.9260,0.7703,0.7703
-1.4800,1.9140,0.7695,0.7695
-1.4800,1.9020,0.7688,0.7688
-1.4680,1.8900,0.7804,0.7804
-1.4680,1.8780,0.7801,0.7801
-1.4680,1.8660,0.7800,0.7800
-1.4680,1.8540,0.7800,0.7800
-1.4560,1.8420,0.7920,0.7920
-1.4560,1.8300,0.7911,0.7911
-1.4440,1.8180,0.8005,0.8005
-1.4440,1.8060,0.7979,0.7979
-1.4320,1.7940,0.8072,0.8072
-1.4320,1.7820,0.8050,0.8050
-1.4320,1.7700,0.8029,0.8029
-1.4320,1.7580,0.8010,0.8010
