# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.7950,-3.6590,0.4230,0.4230
-0.7950,-3.6680,0.4230,0.4230
-0.7950,-3.6770,0.4230,0.4230
-0.7950,-3.6860,0.4230,0.4230
-0.7950,-3.6950,0.4230,0.4230
-0.7950,-3.7040,0.4230,0.4230
-0.7950,-3.7130,0.4230,0.4230
-0.7950,-3.7220,0.4230,0.4230
-0.7860,-3.7310,0.4320,0.4320
-0.7860,-3.7400,0.4320,0.4320
-0.7860,-3.7490,0.4320,0.4320
-0.7860,-3.7580,0.4320,0.4320
-0.7860,-3.7670,0.4320,0.4320
-0.7860,-3.7760,0.4320,0.4320
-0.7860,-3.7850,0.4320,0.4320
-0.7860,-3.7940,0.4320,0.4320
-0.7770,-3.8030,0.4410,0.4410
-0.7770,-3.8120,0.4410,0.4410
-0.7770,-3.8210,0.4410,0.4410
-0.7770,-3.8300,0.4410,0.4410
-0.7770,-3.8390,0.4410,0.4410
-0.7770,-3.8480,0.4410,0.4410
-0.7770,-3.8570,0.4410,0.4410
-0.7770,-3.8660,0.4410,0.4410
-0.7770,-3.8750,0.4410,0.4410
-0.7680,-3.8840,0.4500,0.4500
-0.7680,-3.8930,0.4500,0.4500
-0.7680,-3.9020,0.4500,0.4500
-0.7680,-3.9110,0.4500,0.4500
-0.7680,-3.9200,0.4500,0.4500
-0.7680,-3.9290,0.4500,0.4500
-0.7680,-3.9380,0.4501,0.4501
-0.7680,-3.9470,0.4504,0.4504
-0.7590,-3.9560,0.4598,0.4598
-0.7590,-3.9650,0.4604,0.4604
-0.7590,-3.9740,0.4612,0.4612
-0.7590,-3.9830,0.4622,0.4622
-0.7590,-3.9920,0.4633,0.4633
-0.7500,-4.0010,0.4735,0.4735
-0.7500,-4.0100,0.4750,0.4750
-0.7500,-4.0190,0.4766,0.4766
-0.7500,-4.0280,0.4784,0.4784
-0.7500,-4.0370,0.4803,0.4803
-0.7500,-4.0460,0.4824,0.4824
-0.7410,-4.0550,0.4934,0.4934
-0.7410,-4.0640,0.4957,0.4957
-0.7410,-4.0730,0.4983,0.4983
-0.7410,-4.0820,0.5009,0.5009
-0.7410,-4.0910,0.5038,0.5038
-0.7410,-4.1000,0.5067,0.5067
-0.7320,-4.1090,0.5183,0.5183
-0.7320,-4.1180,0.5215,0.5215
-0.7320,-4.1270,0.5242,0.5242
-0.7320,-4.1360,0.5267,0.5267
-0.7320,-4.1450,0.5294,0.5294
-0.7230,-4.1540,0.5407,0.5407
-0.7230,-4.1630,0.5437,0.5437
-0.7230,-4.1720,0.5467,0.5467
-0.7230,-4.1810,0.5499,0.5499
-0.7140,-4.1900,0.5615,0.5615
-0.7140,-4.1990,0.5649,0.5649
-0.7140,-4.2080,0.5684,0.5684
-0.7050,-4.2170,0.5803,0.5803
-0.7050,-4.2260,0.5840,0.5840
-0.6960,-4.2350,0.5959,0.5959
-0.6960,-4.2440,0.5998,0.5998
-0.6960,-4.2530,0.6037,0.6037
-0.6870,-4.2620,0.6158,0.6158
-0.6870,-4.2710,0.6199,0.6199
-0.6870,-4.2800,0.6239,0.6239
-0.6780,-4.2890,0.6360,0.6360
-0.6780,-4.2980,0.6400,0.6400
-0.6780,-4.3070,0.6440,0.6440
-0.6690,-4.3160,0.6561,0.6561
-0.6690,-4.3250,0.6601,0.6601
-0.6690,-4.3340,0.6641,0.6641
-0.6600,-4.3430,0.6762,0.6762
-0.6600,-4.3520,0.6803,0.6803
-0.6600,-4.3610,0.6845,0.6845
