# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2740,-3.3610,0.6217,0.6217
-0.2740,-3.3700,0.6184,0.6184
-0.2740,-3.3790,0.6152,0.6152
-0.2650,-3.3880,0.6205,0.6205
-0.2650,-3.3970,0.6169,0.6169
-0.2560,-3.4060,0.6217,0.6217
-0.2560,-3.4150,0.6184,0.6184
-0.2470,-3.4240,0.6236,0.6236
-0.2470,-3.4330,0.6205,0.6205
-0.2380,-3.4420,0.6261,0.6261
-0.2290,-3.4510,0.6319,0.6319
-0.2290,-3.4600,0.6280,0.6280
-0.2200,-3.4690,0.6324,0.6324
-0.2110,-3.4780,0.6370,0.6370
-0.2110,-3.4870,0.6335,0.6335
-0.2020,-3.4960,0.6384,0.6384
-0.2020,-3.5050,0.6352,0.6352
-0.1930,-3.5140,0.6405,0.6405
-0.1840,-3.5230,0.6461,0.6461
-0.1750,-3.5320,0.6518,0.6518
-0.1750,-3.5410,0.6491,0.6491
-0.1660,-3.5500,0.6552,0.6552
-0.1660,-3.5590,0.6528,0.6528
-0.1570,-3.5680,0.6592,0.6592
-0.1480,-3.5770,0.6658,0.6658
-0.1480,-3.5860,0.6638,0.6638
-0.1390,-3.5950,0.6699,0.6699
-0.1300,-3.6040,0.6731,0.6731
-0.1300,-3.6130,0.6687,0.6687
-0.1210,-3.6220,0.6724,0.6724
-0.1120,-3.6310,0.6762,0.6762
-0.1030,-3.6400,0.6792,0.6792
-0.1030,-3.6490,0.6745,0.6745
-0.0940,-3.6580,0.6776,0.6776
-0.0940,-3.6670,0.6731,0.6731
-0.0850,-3.6760,0.6766,0.6766
-0.0760,-3.6850,0.6803,0.6803
-0.0760,-3.6940,0.6762,0.6762
-0.0670,-3.7030,0.6803,0.6803
-0.0580,-3.7120,0.6803,0.6803
-0.0580,-3.7210,0.6808,0.6808
-0.0490,-3.7300,0.6803,0.6803
-0.0490,-3.7390,0.6819,0.6819
-0.0400,-3.7480,0.6810,0.6810
-0.0400,-3.7570,0.6836,0.6836
-0.0310,-3.7660,0.6822,0.6822
-0.0310,-3.7750,0.6842,0.6842
-0.0220,-3.7840,0.6841,0.6841
-0.0220,-3.7930,0.6842,0.6842
-0.0220,-3.8020,0.6791,0.6791
-0.0220,-3.8110,0.6740,0.6740
-0.0130,-3.8200,0.6765,0.6765
-0.0130,-3.8290,0.6716,0.6716
-0.0040,-3.8380,0.6745,0.6745
-0.0040,-3.8470,0.6699,0.6699
0.0050,-3.8560,0.6731,0.6731
0.0050,-3.8650,0.6687,0.6687
0.0140,-3.8740,0.6724,0.6724
0.0140,-3.8830,0.6682,0.6682
0.0230,-3.8920,0.6722,0.6722
0.0230,-3.9010,0.6682,0.6682
0.0320,-3.9100,0.6722,0.6722
0.0410,-3.9190,0.6764,0.6764
0.0410,-3.9280,0.6726,0.6726
0.0500,-3.9370,0.6772,0.6772
0.0500,-3.9460,0.6736,0.6736
0.0590,-3.9550,0.6785,0.6785
0.0590,-3.9640,0.6752,0.6752
0.0590,-3.9730,0.6721,0.6721
0.0680,-3.9820,0.6775,0.6775
0.0680,-3.9910,0.6745,0.6745
0.0770,-4.0000,0.6803,0.6803
0.0770,-4.0090,0.6776,0.6776
0.0770,-4.0180,0.6750,0.6750
0.0770,-4.0270,0.6722,0.6722
0.0860,-4.0360,0.6762,0.6762
0.0860,-4.0450,0.6722,0.6722
0.0950,-4.0540,0.6762,0.6762
0.0950,-4.0630,0.6722,0.6722
0.0950,-4.0720,0.6682,0.6682
0.0950,-4.0810,0.6644,0.6644
0.0950,-4.0900,0.6607,0.6607
0.1040,-4.0990,0.6653,0.6653
0.1040,-4.1080,0.6619,0.6619
0.1130,-4.1170,0.6669,0.6669
0.1130,-4.1260,0.6636,0.6636
0.1130,-4.1350,0.6605,0.6605
0.1130,-4.1440,0.6575,0.6575
0.1220,-4.1530,0.6631,0.6631
0.1220,-4.1620,0.6604,0.6604
0.1220,-4.1710,0.6577,0.6577
0.1310,-4.1800,0.6639,0.6639
0.1310,-4.1890,0.6615,0.6615
0.1310,-4.1980,0.6592,0.6592
0.1400,-4.2070,0.6658,0.6658
0.1490,-4.2160,0.6726,0.6726
0.1580,-4.2250,0.6795,0.6795
0.1670,-4.2340,0.6867,0.6867
0.1760,-4.2430,0.6939,0.6939
0.1850,-4.2520,0.7014,0.7014
0.1940,-4.2610,0.7089,0.7089
0.2030,-4.2700,0.7167,0.7167
0.2030,-4.2790,0.7156,0.7156
0.2120,-4.2880,0.7236,0.7236
0.2210,-4.2970,0.7317,0.7317
0.2300,-4.3060,0.7400,0.7400
0.2390,-4.3150,0.7484,0.7484
0.2480,-4.3150,0.7573,0.7573
0.2570,-4.3240,0.7658,0.7658
0.2660,-4.3330,0.7739,0.7739
0.2750,-4.3420,0.7815,0.7815
0.2840,-4.3510,0.7890,0.7890
0.2930,-4.3510,0.7978,0.7978
0.3020,-4.3600,0.8050,0.8050
0.3020,-4.3690,0.8034,0.8034
0.3110,-4.3780,0.8108,0.8108
0.3200,-4.3870,0.8162,0.8162
0.3290,-4.3960,0.8171,0.8171
0.3380,-4.4050,0.8182,0.8182
0.3470,-4.4140,0.8194,0.8194
0.3560,-4.4140,0.8171,0.8171
0.3650,-4.4230,0.8182,0.8182
0.3740,-4.4320,0.8194,0.8194
0.3830,-4.4410,0.8209,0.8209
0.3920,-4.4500,0.8226,0.8226
0.4010,-4.4590,0.8245,0.8245
0.4100,-4.4680,0.8254,0.8254
0.4190,-4.4770,0.8197,0.8197
0.4190,-4.4860,0.8112,0.8112
0.4280,-4.4950,0.8058,0.8058
0.4370,-4.5040,0.8006,0.8006
0.4460,-4.5130,0.7955,0.7955
0.4550,-4.5220,0.7906,0.7906
0.4640,-4.5220,0.7941,0.7941
0.4730,-4.5310,0.7895,0.7895
0.4820,-4.5310,0.7933,0.7933
0.4910,-4.5400,0.7890,0.7890
0.5000,-4.5490,0.7849,0.7849
0.5090,-4.5490,0.7889,0.7889
0.5180,-4.5490,0.7929,0.7929
0.5270,-4.5490,0.7969,0.7969
0.5360,-4.5580,0.7929,0.7929
0.5450,-4.5580,0.7969,0.7969
0.5540,-4.5580,0.8011,0.8011
0.5630,-4.5670,0.7973,0.7973
0.5720,-4.5670,0.8016,0.8016
0.5810,-4.5760,0.7982,0.7982
0.5900,-4.5760,0.8027,0.8027
0.5990,-4.5760,0.8072,0.8072
0.6080,-4.5850,0.8042,0.8042
0.6170,-4.5850,0.8072,0.8072
0.6260,-4.5940,0.8052,0.8052
0.6350,-4.5940,0.8060,0.8060
0.6440,-4.5940,0.8016,0.8016
0.6530,-4.6030,0.8052,0.8052
0.6620,-4.6030,0.8011,0.8011
0.6710,-4.6030,0.7969,0.7969
0.6800,-4.6120,0.8010,0.8010
0.6890,-4.6120,0.7969,0.7969
0.6980,-4.6120,0.7929,0.7929
0.7070,-4.6210,0.7969,0.7969
0.7160,-4.6210,0.7929,0.7929
0.7250,-4.6300,0.7971,0.7971
0.7340,-4.6300,0.7933,0.7933
0.7430,-4.6300,0.7895,0.7895
0.7520,-4.6390,0.7941,0.7941
0.7610,-4.6390,0.7906,0.7906
0.7700,-4.6480,0.7955,0.7955
0.7790,-4.6480,0.7922,0.7922
0.7880,-4.6480,0.7889,0.7889
0.7970,-4.6570,0.7929,0.7929
0.8060,-4.6570,0.7890,0.7890
0.8150,-4.6570,0.7851,0.7851
0.8240,-4.6570,0.7813,0.7813
0.8330,-4.6570,0.7777,0.7777
0.8420,-4.6660,0.7823,0.7823
0.8510,-4.6660,0.7789,0.7789
0.8600,-4.6660,0.7755,0.7755
0.8690,-4.6660,0.7722,0.7722
0.8780,-4.6660,0.7690,0.7690
0.8870,-4.6750,0.7743,0.7743
0.8960,-4.6750,0.7713,0.7713
0.9050,-4.6750,0.7684,0.7684
0.9140,-4.6750,0.7656,0.7656
0.9230,-4.6750,0.7628,0.7628
0.9320,-4.6840,0.7684,0.7684
0.9410,-4.6840,0.7656,0.7656
0.9500,-4.6840,0.7628,0.7628
0.9590,-4.6840,0.7599,0.7599
0.9680,-4.6840,0.7571,0.7571
0.9770,-4.6930,0.7629,0.7629
0.9860,-4.6930,0.7603,0.7603
0.9950,-4.6930,0.7578,0.7578
1.0040,-4.7020,0.7641,0.7641
1.0130,-4.6930,0.7531,0.7531
1.0220,-4.6930,0.7509,0.7509
1.0310,-4.6930,0.7485,0.7485
