# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1640,-3.3640,0.3310,0.3310
1.1760,-3.3640,0.3275,0.3275
1.1880,-3.3760,0.3328,0.3328
1.2000,-3.3760,0.3275,0.3275
1.2120,-3.3880,0.3328,0.3328
1.2240,-3.3880,0.3278,0.3278
1.2360,-3.3880,0.3231,0.3231
1.2480,-3.4000,0.3302,0.3302
1.2600,-3.4000,0.3264,0.3264
1.2720,-3.4120,0.3347,0.3347
1.2840,-3.4120,0.3319,0.3319
1.2960,-3.4240,0.3413,0.3413
1.3080,-3.4360,0.3513,0.3513
1.3200,-3.4360,0.3494,0.3494
1.3320,-3.4360,0.3463,0.3463
1.3440,-3.4480,0.3546,0.3546
1.3560,-3.4480,0.3499,0.3499
1.3680,-3.4600,0.3568,0.3568
1.3800,-3.4600,0.3529,0.3529
1.3920,-3.4600,0.3494,0.3494
1.4040,-3.4600,0.3463,0.3463
1.4160,-3.4720,0.3554,0.3554
1.4280,-3.4840,0.3644,0.3644
1.4400,-3.4840,0.3610,0.3610
1.4520,-3.4960,0.3697,0.3697
1.4640,-3.5080,0.3789,0.3789
1.4760,-3.5080,0.3768,0.3768
1.4880,-3.5080,0.3751,0.3751
1.5000,-3.5200,0.3857,0.3857
1.5120,-3.5320,0.3967,0.3967
1.5240,-3.5440,0.4082,0.4082
1.5360,-3.5440,0.4080,0.4080
1.5480,-3.5560,0.4145,0.4145
1.5600,-3.5560,0.4101,0.4101
1.5720,-3.5680,0.4174,0.4174
1.5840,-3.5680,0.4138,0.4138
1.5960,-3.5800,0.4221,0.4221
1.6080,-3.5800,0.4191,0.4191
1.6200,-3.5920,0.4256,0.4256
1.6320,-3.5920,0.4214,0.4214
1.6440,-3.5920,0.4174,0.4174
1.6560,-3.6040,0.4253,0.4253
1.6680,-3.6040,0.4221,0.4221
1.6800,-3.6160,0.4308,0.4308
1.6920,-3.6160,0.4283,0.4283
1.7040,-3.6280,0.4368,0.4368
1.7160,-3.6400,0.4453,0.4453
1.7280,-3.6400,0.4425,0.4425
1.7400,-3.6520,0.4519,0.4519
1.7520,-3.6640,0.4616,0.4616
1.7640,-3.6640,0.4599,0.4599
1.7760,-3.6760,0.4705,0.4705
1.7880,-3.6760,0.4694,0.4694
1.8000,-3.6880,0.4806,0.4806
1.8120,-3.6880,0.4801,0.4801
1.8240,-3.7000,0.4920,0.4920
1.8360,-3.7000,0.4920,0.4920
1.8480,-3.7120,0.5011,0.5011
1.8600,-3.7120,0.4978,0.4978
1.8720,-3.7240,0.5064,0.5064
1.8840,-3.7240,0.5037,0.5037
1.8960,-3.7360,0.5131,0.5131
1.9080,-3.7360,0.5110,0.5110
1.9200,-3.7480,0.5210,0.5210
1.9320,-3.7480,0.5181,0.5181
1.9440,-3.7600,0.5272,0.5272
1.9560,-3.7600,0.5249,0.5249
1.9680,-3.7720,0.5346,0.5346
