x,y
-11.9,-0.3
-12.21,0.2
-12.45,0.7
-12.69,1.2
-12.88,1.7
-13.0,2.2
-13.09,2.7
-13.01,3.2
-12.79,3.7
-12.3,4.0
-11.8,4.12
-11.3,4.16
-10.8,4.2
-10.3,4.2
-9.8,4.2
-9.3,4.17
-8.8,4.15
-8.3,4.13
-7.8,4.13
-7.3,4.18
-6.8,4.26
-6.3,4.33
-5.8,4.4
-5.3,4.45
-4.8,4.52
-4.3,4.66
-3.8,4.73
-3.3,4.76
-2.8,4.77
-2.3,4.77
-1.8,4.73
-1.3,4.69
-0.8,4.58
-0.3,4.6
0.2,4.65
0.7,4.64
1.2,4.59
1.7,4.42
2.06,3.99
1.98,3.49
1.76,2.99
1.52,2.49
1.72,1.99
2.2,1.66
2.7,1.51
3.2,1.53
3.7,1.61
4.2,1.81
4.7,1.97
5.2,2.05
5.7,1.85
5.93,1.35
5.95,0.85
5.68,0.39
5.18,0.11
4.68,-0.04
4.18,-0.16
3.68,-0.26
3.18,-0.34
2.68,-0.36
2.18,-0.36
1.68,-0.34
1.18,-0.24
0.68,-0.17
0.18,0.0
-0.32,0.24
-0.82,0.55
-1.28,1.0
-1.56,1.49
-1.86,1.94
-2.36,2.07
-2.86,2.13
-3.36,2.07
-3.86,2.02
-4.36,1.84
-4.86,1.52
-5.36,1.12
-5.85,0.66
-6.35,0.23
-6.83,-0.24
-7.24,-0.74
-7.58,-1.24
-7.96,-1.74
-8.46,-2.14
-8.96,-2.32
-9.46,-2.38
-9.96,-2.31
-10.46,-2.15
-10.94,-1.76
-11.29,-1.26
-11.61,-0.76
