# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1520,-2.3860,0.7137,0.7137
-1.1580,-2.3800,0.7085,0.7085
-1.1580,-2.3740,0.7094,0.7094
-1.1640,-2.3680,0.7043,0.7043
-1.1700,-2.3620,0.6994,0.6994
-1.1700,-2.3560,0.7004,0.7004
-1.1760,-2.3500,0.6955,0.6955
-1.1820,-2.3440,0.6907,0.6907
-1.1880,-2.3380,0.6860,0.6860
-1.1880,-2.3320,0.6873,0.6873
-1.1940,-2.3260,0.6827,0.6827
-1.2000,-2.3200,0.6782,0.6782
-1.2000,-2.3140,0.6796,0.6796
-1.2060,-2.3080,0.6752,0.6752
-1.2120,-2.3020,0.6710,0.6710
-1.2180,-2.2960,0.6665,0.6665
-1.2180,-2.2900,0.6679,0.6679
-1.2180,-2.2840,0.6694,0.6694
-1.2240,-2.2780,0.6651,0.6651
-1.2240,-2.2720,0.6665,0.6665
-1.2240,-2.2660,0.6679,0.6679
-1.2300,-2.2600,0.6636,0.6636
-1.2300,-2.2540,0.6652,0.6652
-1.2300,-2.2480,0.6668,0.6668
-1.2300,-2.2420,0.6684,0.6684
-1.2300,-2.2360,0.6701,0.6701
-1.2300,-2.2300,0.6718,0.6718
-1.2300,-2.2240,0.6736,0.6736
-1.2360,-2.2180,0.6698,0.6698
-1.2360,-2.2120,0.6717,0.6717
-1.2360,-2.2060,0.6736,0.6736
-1.2360,-2.2000,0.6752,0.6752
-1.2360,-2.1940,0.6768,0.6768
-1.2360,-2.1880,0.6783,0.6783
-1.2360,-2.1820,0.6799,0.6799
-1.2420,-2.1760,0.6758,0.6758
-1.2420,-2.1700,0.6776,0.6776
-1.2420,-2.1640,0.6794,0.6794
-1.2420,-2.1580,0.6812,0.6812
-1.2420,-2.1520,0.6831,0.6831
-1.2420,-2.1460,0.6850,0.6850
-1.2420,-2.1400,0.6869,0.6869
-1.2420,-2.1340,0.6890,0.6890
-1.2420,-2.1280,0.6910,0.6910
-1.2420,-2.1220,0.6931,0.6931
-1.2420,-2.1160,0.6944,0.6944
-1.2420,-2.1100,0.6957,0.6957
-1.2420,-2.1040,0.6971,0.6971
-1.2420,-2.0980,0.6985,0.6985
-1.2420,-2.0920,0.7000,0.7000
-1.2420,-2.0860,0.6977,0.6977
-1.2420,-2.0800,0.6950,0.6950
-1.2420,-2.0740,0.6924,0.6924
-1.2420,-2.0680,0.6898,0.6898
-1.2420,-2.0620,0.6873,0.6873
-1.2420,-2.0560,0.6848,0.6848
-1.2420,-2.0500,0.6823,0.6823
-1.2420,-2.0440,0.6799,0.6799
-1.2420,-2.0380,0.6775,0.6775
-1.2480,-2.0320,0.6808,0.6808
-1.2480,-2.0260,0.6785,0.6785
-1.2480,-2.0200,0.6763,0.6763
-1.2480,-2.0140,0.6742,0.6742
-1.2480,-2.0080,0.6721,0.6721
-1.2480,-2.0020,0.6700,0.6700
-1.2480,-1.9960,0.6680,0.6680
-1.2480,-1.9900,0.6660,0.6660
-1.2480,-1.9840,0.6641,0.6641
-1.2480,-1.9780,0.6622,0.6622
-1.2480,-1.9720,0.6604,0.6604
-1.2540,-1.9660,0.6643,0.6643
-1.2540,-1.9600,0.6626,0.6626
-1.2540,-1.9540,0.6610,0.6610
-1.2540,-1.9480,0.6594,0.6594
-1.2540,-1.9420,0.6578,0.6578
-1.2540,-1.9360,0.6563,0.6563
-1.2540,-1.9300,0.6549,0.6549
-1.2540,-1.9240,0.6534,0.6534
-1.2600,-1.9180,0.6580,0.6580
-1.2600,-1.9120,0.6567,0.6567
-1.2600,-1.9060,0.6554,0.6554
-1.2600,-1.9000,0.6542,0.6542
-1.2600,-1.8940,0.6531,0.6531
-1.2600,-1.8880,0.6520,0.6520
-1.2660,-1.8820,0.6569,0.6569
-1.2660,-1.8760,0.6560,0.6560
-1.2660,-1.8700,0.6551,0.6551
-1.2660,-1.8640,0.6542,0.6542
-1.2660,-1.8580,0.6531,0.6531
-1.2720,-1.8520,0.6580,0.6580
-1.2720,-1.8460,0.6569,0.6569
-1.2720,-1.8400,0.6560,0.6560
-1.2780,-1.8340,0.6610,0.6610
-1.2780,-1.8280,0.6602,0.6602
-1.2840,-1.8220,0.6653,0.6653
-1.2840,-1.8160,0.6646,0.6646
-1.2900,-1.8100,0.6699,0.6699
-1.2900,-1.8040,0.6693,0.6693
-1.2900,-1.7980,0.6687,0.6687
-1.2960,-1.7920,0.6742,0.6742
-1.2960,-1.7860,0.6737,0.6737
-1.3020,-1.7800,0.6793,0.6793
-1.3020,-1.7740,0.6790,0.6790
-1.3080,-1.7680,0.6847,0.6847
-1.3140,-1.7620,0.6904,0.6904
-1.3140,-1.7560,0.6902,0.6902
-1.3200,-1.7500,0.6961,0.6961
-1.3200,-1.7440,0.6960,0.6960
