# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4360,-2.3660,0.6816,0.6816
-0.4360,-2.3600,0.6806,0.6806
-0.4420,-2.3540,0.6730,0.6730
-0.4420,-2.3480,0.6707,0.6707
-0.4480,-2.3420,0.6630,0.6630
-0.4480,-2.3360,0.6608,0.6608
-0.4540,-2.3300,0.6531,0.6531
-0.4540,-2.3240,0.6510,0.6510
-0.4600,-2.3180,0.6433,0.6433
-0.4600,-2.3120,0.6414,0.6414
-0.4660,-2.3060,0.6337,0.6337
-0.4720,-2.3000,0.6261,0.6261
-0.4720,-2.2940,0.6243,0.6243
-0.4720,-2.2880,0.6224,0.6224
-0.4780,-2.2820,0.6149,0.6149
-0.4780,-2.2760,0.6132,0.6132
-0.4840,-2.2700,0.6058,0.6058
-0.4840,-2.2640,0.6041,0.6041
-0.4840,-2.2580,0.6025,0.6025
-0.4840,-2.2520,0.6010,0.6010
-0.4900,-2.2460,0.5937,0.5937
-0.4900,-2.2400,0.5923,0.5923
-0.4960,-2.2340,0.5851,0.5851
-0.4960,-2.2280,0.5836,0.5836
-0.4960,-2.2220,0.5821,0.5821
-0.5020,-2.2160,0.5748,0.5748
-0.5020,-2.2100,0.5734,0.5734
-0.5020,-2.2040,0.5720,0.5720
-0.5080,-2.1980,0.5649,0.5649
-0.5080,-2.1920,0.5636,0.5636
-0.5080,-2.1860,0.5625,0.5625
-0.5140,-2.1800,0.5554,0.5554
-0.5140,-2.1740,0.5544,0.5544
-0.5140,-2.1680,0.5534,0.5534
-0.5200,-2.1620,0.5465,0.5465
-0.5200,-2.1560,0.5456,0.5456
-0.5200,-2.1500,0.5448,0.5448
-0.5200,-2.1440,0.5440,0.5440
-0.5260,-2.1380,0.5374,0.5374
-0.5260,-2.1320,0.5367,0.5367
-0.5260,-2.1260,0.5362,0.5362
-0.5260,-2.1200,0.5356,0.5356
-0.5320,-2.1140,0.5292,0.5292
-0.5320,-2.1080,0.5289,0.5289
-0.5320,-2.1020,0.5285,0.5285
-0.5320,-2.0960,0.5283,0.5283
-0.5320,-2.0900,0.5281,0.5281
-0.5380,-2.0840,0.5220,0.5220
-0.5380,-2.0780,0.5220,0.5220
-0.5380,-2.0720,0.5220,0.5220
-0.5380,-2.0660,0.5220,0.5220
-0.5380,-2.0600,0.5220,0.5220
-0.5380,-2.0540,0.5220,0.5220
-0.5440,-2.0480,0.5160,0.5160
-0.5440,-2.0420,0.5161,0.5161
-0.5440,-2.0360,0.5163,0.5163
-0.5440,-2.0300,0.5166,0.5166
-0.5440,-2.0240,0.5169,0.5169
-0.5440,-2.0180,0.5173,0.5173
-0.5500,-2.0120,0.5117,0.5117
-0.5500,-2.0060,0.5123,0.5123
-0.5500,-2.0000,0.5129,0.5129
-0.5560,-1.9940,0.5076,0.5076
-0.5560,-1.9880,0.5083,0.5083
-0.5560,-1.9820,0.5091,0.5091
-0.5560,-1.9760,0.5100,0.5100
-0.5620,-1.9700,0.5050,0.5050
-0.5620,-1.9640,0.5061,0.5061
-0.5620,-1.9580,0.5072,0.5072
-0.5620,-1.9520,0.5083,0.5083
-0.5620,-1.9460,0.5096,0.5096
-0.5680,-1.9400,0.5050,0.5050
-0.5680,-1.9340,0.5064,0.5064
-0.5680,-1.9280,0.5079,0.5079
-0.5680,-1.9220,0.5094,0.5094
