# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4200,-3.8630,0.7110,0.7110
-0.4200,-3.8720,0.7111,0.7111
-0.4200,-3.8810,0.7112,0.7112
-0.4110,-3.8900,0.7205,0.7205
-0.4110,-3.8990,0.7209,0.7209
-0.4110,-3.9080,0.7214,0.7214
-0.4020,-3.9170,0.7310,0.7310
-0.4020,-3.9260,0.7317,0.7317
-0.4020,-3.9350,0.7325,0.7325
-0.4020,-3.9440,0.7335,0.7335
-0.3930,-3.9530,0.7435,0.7435
-0.3930,-3.9620,0.7446,0.7446
-0.3930,-3.9710,0.7459,0.7459
-0.3930,-3.9800,0.7472,0.7472
-0.3930,-3.9890,0.7487,0.7487
-0.3840,-3.9980,0.7591,0.7591
-0.3840,-4.0070,0.7608,0.7608
-0.3840,-4.0160,0.7625,0.7625
-0.3840,-4.0250,0.7644,0.7644
-0.3750,-4.0340,0.7751,0.7751
-0.3750,-4.0430,0.7771,0.7771
-0.3750,-4.0520,0.7793,0.7793
-0.3750,-4.0610,0.7815,0.7815
-0.3660,-4.0700,0.7925,0.7925
-0.3660,-4.0790,0.7947,0.7947
-0.3660,-4.0880,0.7967,0.7967
-0.3660,-4.0970,0.7989,0.7989
-0.3660,-4.1060,0.8012,0.8012
-0.3660,-4.1150,0.8034,0.8034
-0.3570,-4.1240,0.8010,0.8010
-0.3570,-4.1330,0.8011,0.8011
-0.3570,-4.1420,0.8012,0.8012
-0.3570,-4.1510,0.8015,0.8015
-0.3570,-4.1600,0.8018,0.8018
-0.3570,-4.1690,0.8023,0.8023
-0.3570,-4.1780,0.8028,0.8028
-0.3480,-4.1870,0.7945,0.7945
-0.3480,-4.1960,0.7953,0.7953
-0.3480,-4.2050,0.7961,0.7961
-0.3480,-4.2140,0.7971,0.7971
-0.3480,-4.2230,0.7982,0.7982
-0.3480,-4.2320,0.7993,0.7993
-0.3480,-4.2410,0.8006,0.8006
-0.3480,-4.2500,0.8020,0.8020
-0.3480,-4.2590,0.8034,0.8034
-0.3480,-4.2680,0.8050,0.8050
-0.3480,-4.2770,0.8066,0.8066
-0.3480,-4.2860,0.8084,0.8084
-0.3480,-4.2950,0.8102,0.8102
-0.3480,-4.3040,0.8122,0.8122
-0.3480,-4.3130,0.8142,0.8142
-0.3480,-4.3220,0.8164,0.8164
-0.3480,-4.3310,0.8186,0.8186
-0.3480,-4.3400,0.8209,0.8209
-0.3480,-4.3490,0.8233,0.8233
-0.3480,-4.3580,0.8258,0.8258
-0.3480,-4.3670,0.8284,0.8284
-0.3480,-4.3760,0.8311,0.8311
