# x_m,y_m,w_tr_right_m,w_tr_left_m
0.2720,-3.9240,0.7192,0.7192
0.2600,-3.9120,0.7245,0.7245
0.2480,-3.9000,0.7299,0.7299
0.2360,-3.8880,0.7352,0.7352
0.2240,-3.8760,0.7409,0.7409
0.2120,-3.8640,0.7469,0.7469
0.2000,-3.8520,0.7532,0.7532
0.1880,-3.8400,0.7599,0.7599
0.1760,-3.8280,0.7669,0.7669
0.1640,-3.8160,0.7722,0.7722
0.1640,-3.8040,0.7677,0.7677
0.1520,-3.7920,0.7737,0.7737
0.1400,-3.7920,0.7800,0.7800
0.1280,-3.7800,0.7844,0.7844
0.1280,-3.7680,0.7866,0.7866
0.1160,-3.7560,0.7935,0.7935
0.1040,-3.7560,0.7943,0.7943
0.0920,-3.7440,0.7997,0.7997
0.0800,-3.7320,0.8054,0.8054
0.0680,-3.7320,0.8005,0.8005
0.0560,-3.7200,0.8068,0.8068
0.0440,-3.7080,0.8129,0.8129
0.0320,-3.6960,0.8171,0.8171
0.0200,-3.6840,0.8217,0.8217
0.0080,-3.6840,0.8160,0.8160
-0.0040,-3.6720,0.8211,0.8211
-0.0160,-3.6720,0.8157,0.8157
-0.0280,-3.6600,0.8211,0.8211
-0.0400,-3.6480,0.8265,0.8265
-0.0520,-3.6360,0.8318,0.8318
-0.0640,-3.6240,0.8356,0.8356
-0.0760,-3.6120,0.8329,0.8329
-0.0880,-3.6000,0.8304,0.8304
-0.1000,-3.5880,0.8283,0.8283
-0.1120,-3.5760,0.8266,0.8266
-0.1120,-3.5640,0.8304,0.8304
-0.1240,-3.5520,0.8283,0.8283
-0.1360,-3.5400,0.8256,0.8256
-0.1480,-3.5280,0.8197,0.8197
-0.1600,-3.5160,0.8121,0.8121
-0.1720,-3.5040,0.8046,0.8046
-0.1840,-3.5040,0.8083,0.8083
-0.1960,-3.4920,0.8008,0.8008
-0.2080,-3.4800,0.7935,0.7935
-0.2200,-3.4680,0.7866,0.7866
-0.2320,-3.4560,0.7800,0.7800
-0.2440,-3.4440,0.7737,0.7737
-0.2560,-3.4320,0.7677,0.7677
-0.2680,-3.4200,0.7621,0.7621
-0.2800,-3.4080,0.7518,0.7518
-0.2920,-3.3960,0.7418,0.7418
-0.3040,-3.3840,0.7320,0.7320
-0.3040,-3.3720,0.7343,0.7343
-0.3160,-3.3600,0.7250,0.7250
-0.3280,-3.3600,0.7133,0.7133
-0.3400,-3.3480,0.7043,0.7043
-0.3520,-3.3360,0.6957,0.6957
-0.3640,-3.3360,0.6841,0.6841
-0.3760,-3.3240,0.6758,0.6758
-0.3880,-3.3120,0.6679,0.6679
-0.4000,-3.3000,0.6603,0.6603
-0.4120,-3.2880,0.6521,0.6521
-0.4240,-3.2760,0.6432,0.6432
-0.4360,-3.2640,0.6346,0.6346
-0.4480,-3.2520,0.6264,0.6264
-0.4600,-3.2400,0.6186,0.6186
-0.4600,-3.2280,0.6224,0.6224
-0.4720,-3.2160,0.6152,0.6152
-0.4840,-3.2040,0.6083,0.6083
-0.4840,-3.1920,0.6129,0.6129
-0.4960,-3.1800,0.6068,0.6068
-0.4960,-3.1680,0.6119,0.6119
-0.5080,-3.1560,0.6064,0.6064
-0.5200,-3.1440,0.6011,0.6011
-0.5320,-3.1320,0.5958,0.5958
-0.5440,-3.1200,0.5909,0.5909
-0.5560,-3.1080,0.5821,0.5821
-0.5560,-3.0960,0.5852,0.5852
-0.5680,-3.0840,0.5770,0.5770
-0.5800,-3.0720,0.5692,0.5692
-0.5800,-3.0600,0.5731,0.5731
-0.5920,-3.0480,0.5660,0.5660
-0.6040,-3.0360,0.5567,0.5567
-0.6160,-3.0240,0.5465,0.5465
-0.6160,-3.0120,0.5485,0.5485
-0.6280,-3.0000,0.5389,0.5389
-0.6400,-2.9880,0.5298,0.5298
