# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.4000,0.6700,0.2033,0.2033
-5.4000,0.6600,0.2083,0.2083
-5.3900,0.6500,0.2049,0.2049
-5.3900,0.6400,0.2102,0.2102
-5.3800,0.6300,0.2072,0.2072
-5.3800,0.6200,0.2103,0.2103
-5.3700,0.6100,0.2103,0.2103
-5.3700,0.6000,0.2072,0.2072
-5.3600,0.5900,0.2102,0.2102
-5.3500,0.5800,0.2122,0.2122
-5.3500,0.5700,0.2083,0.2083
-5.3400,0.5600,0.2120,0.2120
-5.3400,0.5500,0.2071,0.2071
-5.3300,0.5400,0.2112,0.2112
-5.3300,0.5300,0.2066,0.2066
-5.3200,0.5200,0.2111,0.2111
-5.3100,0.5100,0.2155,0.2155
-5.3000,0.5000,0.2185,0.2185
-5.2900,0.4900,0.2211,0.2211
-5.2800,0.4800,0.2240,0.2240
-5.2800,0.4700,0.2187,0.2187
-5.2700,0.4600,0.2220,0.2220
-5.2600,0.4500,0.2247,0.2247
-5.2500,0.4400,0.2262,0.2262
-5.2400,0.4300,0.2280,0.2280
-5.2300,0.4200,0.2301,0.2301
-5.2200,0.4100,0.2324,0.2324
-5.2100,0.4000,0.2341,0.2341
-5.2000,0.3900,0.2360,0.2360
-5.1900,0.3800,0.2382,0.2382
-5.1800,0.3700,0.2406,0.2406
-5.1700,0.3600,0.2433,0.2433
-5.1600,0.3500,0.2463,0.2463
-5.1500,0.3400,0.2495,0.2495
-5.1400,0.3300,0.2529,0.2529
-5.1300,0.3200,0.2566,0.2566
-5.1300,0.3100,0.2518,0.2518
-5.1200,0.3000,0.2559,0.2559
-5.1100,0.2900,0.2603,0.2603
-5.1000,0.2800,0.2648,0.2648
-5.0900,0.2700,0.2692,0.2692
-5.0800,0.2600,0.2737,0.2737
-5.0700,0.2500,0.2782,0.2782
-5.0600,0.2400,0.2826,0.2826
-5.0600,0.2300,0.2782,0.2782
-5.0500,0.2200,0.2826,0.2826
-5.0500,0.2100,0.2782,0.2782
-5.0400,0.2000,0.2826,0.2826
-5.0300,0.1900,0.2872,0.2872
-5.0200,0.1800,0.2920,0.2920
-5.0100,0.1700,0.2971,0.2971
-5.0100,0.1600,0.2926,0.2926
-5.0000,0.1500,0.2961,0.2961
-4.9900,0.1400,0.2992,0.2992
-4.9900,0.1300,0.2940,0.2940
-4.9800,0.1200,0.2976,0.2976
-4.9800,0.1100,0.2926,0.2926
-4.9700,0.1000,0.2965,0.2965
-4.9600,0.0900,0.3006,0.3006
-4.9500,0.0800,0.3045,0.3045
-4.9400,0.0700,0.3071,0.3071
-4.9400,0.0600,0.3016,0.3016
-4.9300,0.0500,0.3045,0.3045
-4.9200,0.0400,0.3078,0.3078
-4.9200,0.0300,0.3026,0.3026
-4.9100,0.0200,0.3062,0.3062
-4.9000,0.0100,0.3101,0.3101
-4.8900,0.0000,0.3141,0.3141
-4.8800,-0.0100,0.3184,0.3184
-4.8700,-0.0200,0.3229,0.3229
-4.8600,-0.0300,0.3273,0.3273
-4.8600,-0.0400,0.3229,0.3229
-4.8500,-0.0500,0.3268,0.3268
-4.8400,-0.0600,0.3301,0.3301
-4.8300,-0.0600,0.3374,0.3374
-4.8200,-0.0700,0.3387,0.3387
-4.8200,-0.0800,0.3373,0.3373
-4.8100,-0.0900,0.3402,0.3402
-4.8000,-0.1000,0.3420,0.3420
-4.7900,-0.1100,0.3440,0.3440
-4.7900,-0.1200,0.3382,0.3382
-4.7800,-0.1300,0.3405,0.3405
-4.7700,-0.1400,0.3431,0.3431
-4.7700,-0.1500,0.3376,0.3376
-4.7600,-0.1600,0.3406,0.3406
-4.7500,-0.1700,0.3438,0.3438
-4.7500,-0.1800,0.3386,0.3386
-4.7400,-0.1900,0.3422,0.3422
-4.7400,-0.2000,0.3373,0.3373
-4.7300,-0.2100,0.3406,0.3406
-4.7300,-0.2200,0.3353,0.3353
-4.7200,-0.2300,0.3386,0.3386
