# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6200,-3.5600,0.5632,0.5632
-1.6200,-3.5700,0.5622,0.5622
-1.6100,-3.5800,0.5515,0.5515
-1.6100,-3.5900,0.5508,0.5508
-1.6100,-3.6000,0.5504,0.5504
-1.6000,-3.6100,0.5401,0.5401
-1.6000,-3.6200,0.5400,0.5400
-1.5900,-3.6300,0.5301,0.5301
-1.5900,-3.6400,0.5304,0.5304
-1.5900,-3.6500,0.5308,0.5308
-1.5800,-3.6600,0.5215,0.5215
-1.5800,-3.6700,0.5224,0.5224
-1.5700,-3.6800,0.5135,0.5135
-1.5700,-3.6900,0.5148,0.5148
-1.5600,-3.7000,0.5064,0.5064
-1.5600,-3.7100,0.5080,0.5080
-1.5500,-3.7200,0.5001,0.5001
-1.5500,-3.7300,0.5022,0.5022
-1.5400,-3.7400,0.4937,0.4937
-1.5400,-3.7500,0.4950,0.4950
-1.5300,-3.7600,0.4866,0.4866
-1.5300,-3.7700,0.4884,0.4884
-1.5300,-3.7800,0.4900,0.4900
-1.5200,-3.7900,0.4800,0.4800
-1.5200,-3.8000,0.4800,0.4800
-1.5200,-3.8100,0.4785,0.4785
-1.5100,-3.8200,0.4669,0.4669
-1.5100,-3.8300,0.4653,0.4653
-1.5100,-3.8400,0.4639,0.4639
-1.5100,-3.8500,0.4627,0.4627
-1.5000,-3.8600,0.4518,0.4518
-1.5000,-3.8700,0.4510,0.4510
-1.5000,-3.8800,0.4504,0.4504
-1.4900,-3.8900,0.4401,0.4401
-1.4900,-3.9000,0.4400,0.4400
-1.4900,-3.9100,0.4400,0.4400
-1.4900,-3.9200,0.4400,0.4400
-1.4800,-3.9300,0.4300,0.4300
-1.4800,-3.9400,0.4301,0.4301
-1.4800,-3.9500,0.4305,0.4305
-1.4700,-3.9600,0.4211,0.4211
-1.4700,-3.9700,0.4219,0.4219
-1.4700,-3.9800,0.4230,0.4230
-1.4700,-3.9900,0.4243,0.4243
-1.4600,-4.0000,0.4159,0.4159
-1.4600,-4.0100,0.4177,0.4177
-1.4600,-4.0200,0.4198,0.4198
-1.4600,-4.0300,0.4220,0.4220
-1.4500,-4.0400,0.4148,0.4148
-1.4500,-4.0500,0.4176,0.4176
-1.4500,-4.0600,0.4206,0.4206
-1.4400,-4.0700,0.4144,0.4144
-1.4400,-4.0800,0.4179,0.4179
-1.4400,-4.0900,0.4215,0.4215
-1.4400,-4.1000,0.4254,0.4254
-1.4300,-4.1100,0.4205,0.4205
-1.4300,-4.1200,0.4249,0.4249
-1.4300,-4.1300,0.4294,0.4294
-1.4300,-4.1400,0.4342,0.4342
-1.4200,-4.1500,0.4305,0.4305
-1.4200,-4.1600,0.4357,0.4357
-1.4200,-4.1700,0.4410,0.4410
-1.4200,-4.1800,0.4465,0.4465
-1.4100,-4.1900,0.4441,0.4441
-1.4000,-4.2000,0.4420,0.4420
-1.4000,-4.2100,0.4482,0.4482
-1.3900,-4.2200,0.4469,0.4469
-1.3900,-4.2300,0.4441,0.4441
-1.3800,-4.2400,0.4465,0.4465
-1.3700,-4.2500,0.4482,0.4482
-1.3600,-4.2600,0.4500,0.4500
-1.3500,-4.2700,0.4522,0.4522
-1.3400,-4.2800,0.4534,0.4534
-1.3300,-4.2900,0.4545,0.4545
-1.3200,-4.3000,0.4561,0.4561
-1.3100,-4.3000,0.4500,0.4500
