# x_m,y_m,w_tr_right_m,w_tr_left_m
0.4240,-2.4880,0.8288,0.8288
0.4240,-2.5000,0.8283,0.8283
0.4360,-2.5120,0.8383,0.8383
0.4360,-2.5240,0.8356,0.8356
0.4480,-2.5360,0.8449,0.8449
0.4600,-2.5480,0.8544,0.8544
0.4600,-2.5600,0.8523,0.8523
0.4720,-2.5720,0.8622,0.8622
0.4720,-2.5840,0.8604,0.8604
0.4840,-2.5960,0.8707,0.8707
0.4840,-2.6080,0.8693,0.8693
0.4960,-2.6200,0.8800,0.8800
0.4960,-2.6320,0.8790,0.8790
0.4960,-2.6440,0.8781,0.8781
0.4960,-2.6560,0.8773,0.8773
0.5080,-2.6680,0.8887,0.8887
0.5080,-2.6800,0.8878,0.8878
0.5200,-2.6920,0.8968,0.8968
0.5200,-2.7040,0.8943,0.8943
0.5320,-2.7160,0.9038,0.9038
0.5320,-2.7280,0.9016,0.9016
0.5320,-2.7400,0.8996,0.8996
0.5440,-2.7520,0.9096,0.9096
0.5440,-2.7640,0.9080,0.9080
0.5560,-2.7760,0.9065,0.9065
0.5560,-2.7880,0.9080,0.9080
0.5680,-2.8000,0.8978,0.8978
0.5680,-2.8120,0.8996,0.8996
0.5680,-2.8240,0.9016,0.9016
0.5800,-2.8360,0.8920,0.8920
0.5800,-2.8480,0.8943,0.8943
0.5920,-2.8600,0.8851,0.8851
0.5920,-2.8720,0.8878,0.8878
0.6040,-2.8840,0.8790,0.8790
0.6040,-2.8960,0.8812,0.8812
0.6160,-2.9080,0.8707,0.8707
0.6160,-2.9200,0.8723,0.8723
0.6280,-2.9320,0.8622,0.8622
0.6280,-2.9440,0.8641,0.8641
0.6400,-2.9560,0.8544,0.8544
0.6400,-2.9680,0.8566,0.8566
0.6520,-2.9800,0.8473,0.8473
0.6520,-2.9920,0.8500,0.8500
0.6640,-3.0040,0.8411,0.8411
0.6640,-3.0160,0.8441,0.8441
0.6760,-3.0280,0.8357,0.8357
0.6760,-3.0400,0.8385,0.8385
0.6760,-3.0520,0.8404,0.8404
0.6880,-3.0640,0.8308,0.8308
0.6880,-3.0760,0.8331,0.8331
0.6880,-3.0880,0.8356,0.8356
0.7000,-3.1000,0.8266,0.8266
0.7000,-3.1120,0.8295,0.8295
0.7000,-3.1240,0.8325,0.8325
0.7120,-3.1360,0.8242,0.8242
0.7120,-3.1480,0.8276,0.8276
0.7240,-3.1600,0.8197,0.8197
0.7240,-3.1720,0.8235,0.8235
0.7360,-3.1840,0.8161,0.8161
0.7360,-3.1960,0.8202,0.8202
0.7360,-3.2080,0.8245,0.8245
0.7360,-3.2200,0.8290,0.8290
0.7480,-3.2320,0.8225,0.8225
0.7480,-3.2440,0.8273,0.8273
0.7480,-3.2560,0.8322,0.8322
0.7600,-3.2680,0.8265,0.8265
0.7600,-3.2800,0.8311,0.8311
0.7720,-3.2920,0.8235,0.8235
0.7720,-3.3040,0.8274,0.8274
0.7840,-3.3160,0.8202,0.8202
0.7840,-3.3280,0.8245,0.8245
0.7840,-3.3400,0.8290,0.8290
0.7840,-3.3520,0.8335,0.8335
0.7840,-3.3640,0.8383,0.8383
0.7960,-3.3760,0.8322,0.8322
0.7960,-3.3880,0.8373,0.8373
0.8080,-3.4000,0.8318,0.8318
0.8080,-3.4120,0.8373,0.8373
0.8200,-3.4240,0.8315,0.8315
0.8200,-3.4360,0.8357,0.8357
0.8200,-3.4480,0.8401,0.8401
0.8200,-3.4600,0.8446,0.8446
0.8200,-3.4720,0.8493,0.8493
0.8200,-3.4840,0.8500,0.8500
0.8320,-3.4960,0.8469,0.8469
0.8320,-3.5080,0.8485,0.8485
0.8440,-3.5200,0.8446,0.8446
0.8440,-3.5320,0.8479,0.8479
0.8560,-3.5440,0.8427,0.8427
0.8560,-3.5560,0.8469,0.8469
0.8680,-3.5680,0.8401,0.8401
0.8680,-3.5800,0.8446,0.8446
0.8800,-3.5920,0.8383,0.8383
0.8800,-3.6040,0.8432,0.8432
0.8920,-3.6160,0.8373,0.8373
0.8920,-3.6280,0.8426,0.8426
0.9040,-3.6400,0.8348,0.8348
0.9040,-3.6520,0.8387,0.8387
0.9040,-3.6640,0.8426,0.8426
0.9160,-3.6760,0.8348,0.8348
0.9160,-3.6880,0.8387,0.8387
0.9160,-3.7000,0.8383,0.8383
0.9160,-3.7120,0.8335,0.8335
0.9280,-3.7240,0.8401,0.8401
0.9280,-3.7360,0.8357,0.8357
0.9400,-3.7480,0.8383,0.8383
0.9400,-3.7600,0.8387,0.8387
0.9520,-3.7720,0.8373,0.8373
0.9520,-3.7840,0.8397,0.8397
0.9520,-3.7960,0.8335,0.8335
0.9640,-3.8080,0.8380,0.8380
0.9640,-3.8200,0.8322,0.8322
0.9640,-3.8320,0.8266,0.8266
0.9760,-3.8440,0.8318,0.8318
0.9760,-3.8560,0.8265,0.8265
0.9760,-3.8680,0.8214,0.8214
0.9760,-3.8800,0.8164,0.8164
0.9880,-3.8920,0.8225,0.8225
0.9880,-3.9040,0.8179,0.8179
1.0000,-3.9160,0.8245,0.8245
1.0120,-3.9280,0.8315,0.8315
1.0120,-3.9400,0.8274,0.8274
1.0240,-3.9520,0.8348,0.8348
1.0240,-3.9640,0.8311,0.8311
1.0360,-3.9760,0.8387,0.8387
1.0360,-3.9880,0.8348,0.8348
1.0480,-4.0000,0.8426,0.8426
1.0600,-4.0120,0.8493,0.8493
1.0720,-4.0240,0.8523,0.8523
1.0840,-4.0360,0.8479,0.8479
1.0840,-4.0480,0.8452,0.8452
1.0960,-4.0600,0.8435,0.8435
1.1080,-4.0600,0.8380,0.8380
1.1200,-4.0720,0.8335,0.8335
1.1320,-4.0840,0.8294,0.8294
1.1440,-4.0960,0.8256,0.8256
1.1560,-4.1080,0.8221,0.8221
1.1560,-4.1200,0.8288,0.8288
1.1680,-4.1320,0.8258,0.8258
1.1800,-4.1440,0.8217,0.8217
1.1920,-4.1560,0.8171,0.8171
1.2040,-4.1680,0.8129,0.8129
1.2040,-4.1800,0.8192,0.8192
1.2160,-4.1920,0.8155,0.8155
1.2280,-4.2040,0.8121,0.8121
1.2400,-4.2160,0.8091,0.8091
1.2400,-4.2280,0.8161,0.8161
1.2520,-4.2400,0.8136,0.8136
1.2640,-4.2520,0.8104,0.8104
1.2760,-4.2640,0.8048,0.8048
1.2760,-4.2760,0.8090,0.8090
1.2880,-4.2880,0.8022,0.8022
1.2880,-4.3000,0.8068,0.8068
1.3000,-4.3120,0.8005,0.8005
1.3120,-4.3120,0.7895,0.7895
1.3240,-4.3240,0.7837,0.7837
1.3360,-4.3360,0.7782,0.7782
1.3480,-4.3480,0.7729,0.7729
1.3480,-4.3600,0.7782,0.7782
1.3600,-4.3720,0.7730,0.7730
1.3720,-4.3840,0.7681,0.7681
1.3840,-4.3960,0.7636,0.7636
1.3960,-4.4080,0.7594,0.7594
1.4080,-4.4200,0.7556,0.7556
1.4080,-4.4320,0.7576,0.7576
1.4200,-4.4440,0.7532,0.7532
1.4320,-4.4440,0.7491,0.7491
1.4440,-4.4560,0.7455,0.7455
1.4440,-4.4680,0.7455,0.7455
1.4560,-4.4800,0.7423,0.7423
1.4680,-4.4920,0.7393,0.7393
1.4800,-4.5040,0.7324,0.7324
1.4920,-4.5160,0.7249,0.7249
1.5040,-4.5280,0.7173,0.7173
1.5160,-4.5400,0.7096,0.7096
1.5280,-4.5520,0.7023,0.7023
1.5400,-4.5640,0.6953,0.6953
1.5520,-4.5760,0.6886,0.6886
1.5640,-4.5880,0.6823,0.6823
1.5760,-4.6000,0.6764,0.6764
1.5880,-4.6120,0.6708,0.6708
