# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1900,-5.3500,0.5025,0.5025
-1.1900,-5.4000,0.5099,0.5099
-1.1900,-5.4500,0.5220,0.5220
-1.2400,-5.5000,0.4924,0.4924
-1.2400,-5.5500,0.5000,0.5000
-1.2400,-5.6000,0.5025,0.5025
-1.2900,-5.6500,0.4610,0.4610
-1.2900,-5.7000,0.4743,0.4743
-1.2900,-5.7500,0.4924,0.4924
-1.2900,-5.8000,0.5099,0.5099
-1.3400,-5.8500,0.4924,0.4924
-1.3400,-5.9000,0.5099,0.5099
-1.3900,-5.9500,0.4743,0.4743
-1.4400,-6.0000,0.4472,0.4472
-1.4400,-6.0500,0.4717,0.4717
-1.4400,-6.1000,0.4717,0.4717
-1.4900,-6.1500,0.4924,0.4924
-1.5400,-6.2000,0.4950,0.4950
-1.5900,-6.2500,0.4924,0.4924
-1.5900,-6.3000,0.4950,0.4950
-1.6400,-6.3500,0.5000,0.5000
-1.6900,-6.4000,0.4950,0.4950
-1.7400,-6.4500,0.4924,0.4924
-1.7400,-6.5000,0.4950,0.4950
-1.7900,-6.5500,0.5000,0.5000
-1.8400,-6.6000,0.4950,0.4950
-1.8900,-6.6500,0.4924,0.4924
-1.9400,-6.7000,0.4717,0.4717
-1.9900,-6.7000,0.4717,0.4717
-2.0400,-6.7500,0.4924,0.4924
-2.0900,-6.8000,0.4717,0.4717
-2.1400,-6.8000,0.4924,0.4924
-2.1900,-6.8500,0.4717,0.4717
-2.2400,-6.9000,0.4610,0.4610
-2.2900,-6.9000,0.4717,0.4717
-2.3400,-6.9500,0.4717,0.4717
-2.3900,-7.0000,0.4472,0.4472
-2.4400,-7.0000,0.4528,0.4528
-2.4900,-7.0500,0.4123,0.4123
-2.5400,-7.0500,0.4272,0.4272
-2.5900,-7.1000,0.4031,0.4031
-2.6400,-7.1000,0.4123,0.4123
-2.6900,-7.1500,0.3808,0.3808
-2.7400,-7.1500,0.3905,0.3905
-2.7900,-7.2000,0.3640,0.3640
-2.8400,-7.2500,0.3354,0.3354
-2.8900,-7.2500,0.3606,0.3606
-2.9400,-7.3000,0.3536,0.3536
-2.9900,-7.3500,0.3536,0.3536
-3.0400,-7.4000,0.3606,0.3606
-3.0900,-7.4500,0.3808,0.3808
-3.1400,-7.5000,0.3808,0.3808
-3.1900,-7.5500,0.3606,0.3606
-3.2400,-7.5500,0.3606,0.3606
-3.2900,-7.6000,0.3808,0.3808
-3.3400,-7.6500,0.3905,0.3905
-3.3900,-7.7000,0.3905,0.3905
-3.4400,-7.7500,0.3905,0.3905
-3.4900,-7.8000,0.3905,0.3905
-3.5400,-7.8500,0.4031,0.4031
-3.5900,-7.9000,0.4243,0.4243
-3.6400,-7.9500,0.4243,0.4243
-3.6900,-8.0000,0.4243,0.4243
-3.7400,-8.0000,0.4243,0.4243
-3.7900,-8.0500,0.4243,0.4243
-3.8400,-8.1000,0.4301,0.4301
-3.8900,-8.1500,0.4472,0.4472
-3.9400,-8.2000,0.4610,0.4610
-3.9900,-8.2500,0.4717,0.4717
-4.0400,-8.3000,0.4924,0.4924
-4.0900,-8.3500,0.4950,0.4950
-4.1400,-8.4000,0.4950,0.4950
-4.1900,-8.4500,0.4950,0.4950
-4.2400,-8.5000,0.5000,0.5000
-4.2900,-8.5500,0.5025,0.5025
-4.2900,-8.6000,0.4924,0.4924
-4.3400,-8.6500,0.4743,0.4743
-4.3400,-8.7000,0.4924,0.4924
-4.3400,-8.7500,0.5025,0.5025
-4.3400,-8.8000,0.5000,0.5000
-4.3900,-8.8500,0.5148,0.5148
-4.3900,-8.9000,0.5385,0.5385
-4.4400,-8.9500,0.5148,0.5148
-4.4400,-9.0000,0.5385,0.5385
-4.4400,-9.0500,0.5220,0.5220
-4.4400,-9.1000,0.5099,0.5099
-4.4400,-9.1500,0.5025,0.5025
-4.4900,-9.2000,0.5500,0.5500
-4.4900,-9.2500,0.5500,0.5500
-4.4900,-9.3000,0.5500,0.5500
-4.4900,-9.3500,0.5500,0.5500
-4.4900,-9.4000,0.5500,0.5500
-4.4900,-9.4500,0.5523,0.5523
-4.5400,-9.5000,0.6083,0.6083
-4.5400,-9.5500,0.6185,0.6185
-4.5400,-9.6000,0.6325,0.6325
-4.5400,-9.6500,0.6500,0.6500
-4.5400,-9.7000,0.6500,0.6500
-4.5400,-9.7500,0.6519,0.6519
-4.5900,-9.8000,0.6801,0.6801
-4.5900,-9.8500,0.6964,0.6964
-4.5400,-9.9000,0.6801,0.6801
-4.5400,-9.9500,0.6964,0.6964
-4.5900,-10.0000,0.7280,0.7280
-4.5900,-10.0500,0.7433,0.7433
-4.5900,-10.1000,0.7500,0.7500
-4.5900,-10.1500,0.7500,0.7500
-4.5900,-10.2000,0.7517,0.7517
-4.5900,-10.2500,0.7500,0.7500
-4.5400,-10.3000,0.7906,0.7906
-4.4900,-10.3500,0.8062,0.8062
-4.4900,-10.4000,0.8139,0.8139
-4.4400,-10.4500,0.8062,0.8062
-4.3900,-10.5000,0.7906,0.7906
-4.3900,-10.5500,0.7906,0.7906
-4.3400,-10.6000,0.8062,0.8062
-4.3400,-10.6500,0.7826,0.7826
-4.2900,-10.7000,0.8078,0.8078
-4.2400,-10.7500,0.8201,0.8201
-4.2400,-10.8000,0.7906,0.7906
-4.1900,-10.8500,0.8062,0.8062
-4.1400,-10.9000,0.8276,0.8276
-4.0900,-10.9500,0.8544,0.8544
-4.0400,-11.0000,0.8860,0.8860
-3.9900,-11.0500,0.9192,0.9192
-3.9400,-11.0500,0.9179,0.9179
-3.8900,-11.1000,0.9394,0.9394
-3.8400,-11.1500,0.9657,0.9657
-3.7900,-11.2000,0.9962,0.9962
-3.7400,-11.2000,0.9823,0.9823
-3.6900,-11.2500,1.0124,1.0124
-3.6400,-11.2500,0.9962,0.9962
-3.5900,-11.2500,0.9823,0.9823
-3.5400,-11.3000,1.0124,1.0124
-3.4900,-11.3000,0.9962,0.9962
-3.4400,-11.3000,0.9823,0.9823
-3.3900,-11.3500,1.0198,1.0198
-3.3400,-11.3500,1.0112,1.0112
-3.2900,-11.3500,1.0050,1.0050
-3.2400,-11.3500,1.0012,1.0012
-3.1900,-11.4000,1.0500,1.0500
-3.1400,-11.4000,1.0500,1.0500
-3.0900,-11.4000,1.0500,1.0500
