# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.8180,1.9170,0.6210,0.6210
-0.8180,1.9080,0.6210,0.6210
-0.8180,1.8990,0.6210,0.6210
-0.8180,1.8900,0.6210,0.6210
-0.8180,1.8810,0.6210,0.6210
-0.8180,1.8720,0.6210,0.6210
-0.8180,1.8630,0.6210,0.6210
-0.8180,1.8540,0.6210,0.6210
-0.8180,1.8450,0.6210,0.6210
-0.8180,1.8360,0.6210,0.6210
-0.8180,1.8270,0.6210,0.6210
-0.8180,1.8180,0.6210,0.6210
-0.8180,1.8090,0.6210,0.6210
-0.8180,1.8000,0.6210,0.6210
-0.8180,1.7910,0.6210,0.6210
-0.8180,1.7820,0.6210,0.6210
-0.8180,1.7730,0.6210,0.6210
-0.8180,1.7640,0.6210,0.6210
-0.8180,1.7550,0.6210,0.6210
-0.8180,1.7460,0.6210,0.6210
-0.8180,1.7370,0.6210,0.6210
-0.8180,1.7280,0.6210,0.6210
-0.8180,1.7190,0.6210,0.6210
-0.8180,1.7100,0.6210,0.6210
-0.8180,1.7010,0.6210,0.6210
-0.8180,1.6920,0.6210,0.6210
-0.8180,1.6830,0.6210,0.6210
-0.8180,1.6740,0.6210,0.6210
-0.8180,1.6650,0.6210,0.6210
-0.8180,1.6560,0.6210,0.6210
-0.8180,1.6470,0.6210,0.6210
-0.8180,1.6380,0.6210,0.6210
-0.8180,1.6290,0.6210,0.6210
-0.8180,1.6200,0.6210,0.6210
-0.8180,1.6110,0.6210,0.6210
-0.8180,1.6020,0.6210,0.6210
-0.8180,1.5930,0.6210,0.6210
-0.8180,1.5840,0.6210,0.6210
-0.8180,1.5750,0.6210,0.6210
-0.8180,1.5660,0.6210,0.6210
-0.8180,1.5570,0.6211,0.6211
-0.8180,1.5480,0.6213,0.6213
-0.8180,1.5390,0.6216,0.6216
-0.8180,1.5300,0.6220,0.6220
-0.8180,1.5210,0.6226,0.6226
-0.8180,1.5120,0.6233,0.6233
-0.8180,1.5030,0.6242,0.6242
-0.8180,1.4940,0.6252,0.6252
-0.8180,1.4850,0.6263,0.6263
-0.8180,1.4760,0.6275,0.6275
-0.8180,1.4670,0.6288,0.6288
-0.8180,1.4580,0.6303,0.6303
-0.8180,1.4490,0.6319,0.6319
-0.8180,1.4400,0.6337,0.6337
